frame,time_seconds,track_id,class_id,confidence,x1,y1,x2,y2,center_x,center_y,bbox_width,bbox_height
9,0.36,8,0,0.4105277359485626,960,262,982,323,971,292,22,60
10,0.4,1,0,0.8759671449661255,1032,148,1108,355,1070,251,76,206
10,0.4,2,0,0.3562299311161041,369,2,766,559,568,281,397,557
10,0.4,3,0,0.6912338137626648,975,223,1013,332,994,278,38,108
10,0.4,4,0,0.8092015385627747,1114,227,1157,327,1136,277,42,100
10,0.4,5,0,0.753492534160614,890,224,921,331,906,278,31,106
10,0.4,6,0,0.6125469207763672,380,233,408,323,394,278,27,89
10,0.4,7,0,0.7808408737182617,325,4,589,560,457,282,264,555
10,0.4,8,0,0.4302130341529846,960,261,983,324,971,292,23,62
11,0.44,1,0,0.8752343058586121,1032,148,1108,354,1070,251,76,206
11,0.44,3,0,0.6750137805938721,974,222,1013,331,994,277,38,108
11,0.44,4,0,0.8205422163009644,1114,226,1157,327,1135,277,43,100
11,0.44,5,0,0.7415076494216919,890,224,921,331,906,278,31,106
11,0.44,6,0,0.6225635409355164,379,229,408,322,393,276,28,93
11,0.44,7,0,0.7867258787155151,323,4,585,560,454,282,262,556
11,0.44,8,0,0.4210665822029114,960,260,983,323,971,292,23,62
12,0.48,1,0,0.8682994246482849,1032,147,1108,353,1070,250,76,205
12,0.48,3,0,0.6437689661979675,975,221,1013,331,994,276,37,109
12,0.48,4,0,0.8271853923797607,1113,226,1158,327,1135,276,44,101
12,0.48,5,0,0.705723762512207,890,224,921,330,906,277,31,105
12,0.48,6,0,0.579119086265564,378,228,407,322,393,275,29,93
12,0.48,7,0,0.8526519536972046,324,3,585,562,455,283,261,559
12,0.48,8,0,0.4342154860496521,960,259,983,322,971,291,23,63
13,0.52,1,0,0.8615159392356873,1031,147,1107,351,1069,249,75,204
13,0.52,3,0,0.6281577944755554,977,223,1013,331,995,277,36,107
13,0.52,4,0,0.8305394053459167,1113,226,1157,327,1135,276,44,101
